"['This Is War']","0.237422","0.92551","0.98572","0.018111","0.067953","0.0","0.0","0.323","0.594","0.093","0.616","0.221","0.856"
"['Ass Backwards']","0.523424","0.92019","0.069022","0.013832","0.223058","0.0","0.0","0.267","0.208","0.086","0.641","0.279","0.917"
"['Assault on Wall Street']","0.730614","0.321355","0.481887","0.016681","0.016099","0.0","0.0","0.062","0.519","0.013","0.544","0.002","0.947"
"['August: Osage County']","0.540042","0.283358","0.470371","0.018416","0.362807","0.907","0.266","0.0","0.048","0.242","0.895","0.887","0.862"
"['Baggage Claim']","0.897423","0.747132","0.241248","0.01826","0.114979","0.0","0.0","0.755","0.218","0.187","0.89","0.601","0.613"
"['Battle of the Year']","0.345578","0.335046","0.205575","0.035358","0.409304","0.0","0.0","0.0","0.877","0.93","0.294","0.313","0.204"
"['Planet B-Boy']","0.105093","0.19724","0.431033","0.289462","0.153137","0.0","0.0","0.0","0.68","0.965","0.329","0.353","0.079"
"['Beautiful Creatures']","0.026577","0.451451","0.019085","0.409765","0.325251","0.0","0.0","0.633","0.006","0.026","0.989","0.979","0.954"
"['Match']","0.443126","0.33909","0.144017","0.047747","0.097237","0.0","0.0","0.023","0.668","0.708","0.34","0.206","0.339"
"['Blackhat']","0.212621","0.286445","0.269228","0.092243","0.187559","0.0","0.59","0.0","0.759","0.386","0.349","0.125","0.469"
"['Little Accidents']","0.038747","0.050284","0.331979","0.06038","0.406425","0.0","0.0","0.858","0.291","0.484","0.624","0.363","0.3"
"['Spare Parts']","0.360135","0.146135","0.368309","0.060515","0.293091","0.539","0.0","0.753","0.649","0.138","0.215","0.066","0.916"
"['The Wedding Ringer']","0.263927","0.320396","0.271332","0.033079","0.530064","0.0","0.925","0.0","0.184","0.299","0.764","0.356","0.705"
"['Vice']","0.080694","0.124202","0.154316","0.198117","0.167162","0.0","0.0","0.216","0.367","0.497","0.626","0.475","0.594"
"['Veronika Decides to Die']","0.051007","0.151837","0.689816","0.020395","0.35721","0.986","0.961","0.0","0.941","0.213","0.257","0.051","0.601"
"['The Boy Next Door']","0.202748","0.471326","0.033293","0.077628","0.086943","0.0","0.0","0.006","0.441","0.491","0.668","0.384","0.384"
"['Cake']","0.029992","0.234162","0.04943","0.825009","0.088104","0.0","0.0","0.685","0.609","0.673","0.697","0.328","0.444"
"['The Humbling']","0.395157","0.353943","0.226403","0.030769","0.469606","0.0","0.447","0.0","0.285","0.204","0.579","0.525","0.886"
"['Mortdecai']","0.442141","0.378034","0.042362","0.609784","0.037947","0.0","0.0","0.0","0.818","0.921","0.134","0.058","0.212"
"['Song One']","0.102806","0.057115","0.041171","0.163112","0.052017","0.0","0.0","0.777","0.061","0.146","0.63","0.858","0.805"
"['Strange Magic']","0.489807","0.016377","0.166753","0.5536","0.099289","0.0","0.117","0.0","0.492","0.069","0.462","0.073","0.883"
